"Time stamp","Estimate rec. thermal power TO HTF | (MWt)","Resource Solar Azimuth | (deg)","Resource Solar Zenith | (deg)","Field optical efficiency before defocus"
"Jan 5, 10:00 am",167.226,149.598,66.3362,0.616245
"Jan 5, 11:00 am",208.912,164.096,61.6437,0.57103
"Jan 5, 12:00 pm",192.337,179.844,59.9713,0.547756
"Jan 5, 01:00 pm",211.434,195.609,61.5718,0.569471
"Jan 5, 02:00 pm",258.338,210.146,66.2029,0.615052
"Jan 5, 03:00 pm",285.906,222.834,73.2736,0.653901
"Jan 5, 04:00 pm",40.2369,233.71,82.1029,0.166807
"Jan 5, 05:00 pm",28.6352,243.161,92.3533,0
"Jan 5, 06:00 pm",15.9329,251.685,103.337,0
"Jan 5, 07:00 pm",0,259.823,114.863,0
"Jan 5, 08:00 pm",0,268.24,126.689,0
"Jan 5, 09:00 pm",0,277.995,138.561,0
"Jan 5, 10:00 pm",0,291.366,150.073,0
"Jan 5, 11:00 pm",0,314.55,160.133,0
"Jan 6, 12:00 am",0,359.281,165.04,0
"Jan 6, 01:00 am",0,44.5595,160.351,0
"Jan 6, 02:00 am",0,68.1523,150.357,0
"Jan 6, 03:00 am",0,81.6705,138.861,0
"Jan 6, 04:00 am",0,91.479,126.988,0
"Jan 6, 05:00 am",0,99.9115,115.151,0
"Jan 6, 06:00 am",0,108.044,103.605,0
"Jan 6, 07:00 am",0,116.547,92.5935,0
"Jan 6, 08:00 am",0,125.964,82.2973,0.170811
"Jan 6, 09:00 am",0,136.797,73.4164,0.65549
"Jan 6, 10:00 am",187.704,149.441,66.2731,0.617232
"Jan 6, 11:00 am",212.196,163.951,61.5516,0.572339
"Jan 6, 12:00 pm",195.346,179.727,59.8517,0.548989
"Jan 6, 01:00 pm",212.404,195.529,61.4315,0.570199
"Jan 6, 02:00 pm",257.361,210.103,66.0506,0.61537
"Jan 6, 03:00 pm",290.329,222.822,73.1166,0.656532
"Jan 6, 04:00 pm",43.8729,233.721,81.947,0.173285
"Jan 6, 05:00 pm",37.5392,243.19,92.1978,0
"Jan 6, 06:00 pm",26.6264,251.727,103.184,0
"Jan 6, 07:00 pm",15.2975,259.878,114.713,0
"Jan 6, 08:00 pm",0,268.307,126.54,0
"Jan 6, 09:00 pm",0,278.072,138.411,0
"Jan 6, 10:00 pm",0,291.442,149.918,0
"Jan 6, 11:00 pm",0,314.538,159.974,0
"Jan 7, 12:00 am",0,358.899,164.914,0
"Jan 7, 01:00 am",0,44.0998,160.312,0
"Jan 7, 02:00 am",0,67.8294,150.362,0
"Jan 7, 03:00 am",0,81.4292,138.881,0
"Jan 7, 04:00 am",0,91.2803,127.01,0
"Jan 7, 05:00 am",0,99.7355,115.169,0
"Jan 7, 06:00 am",0,107.879,103.615,0
"Jan 7, 07:00 am",0,116.386,92.5898,0
"Jan 7, 08:00 am",0,125.803,82.2768,0.17091
"Jan 7, 09:00 am",0,136.635,73.3732,0.655744
"Jan 7, 10:00 am",195.279,149.283,66.2029,0.618243
"Jan 7, 11:00 am",216.446,163.807,61.452,0.57369
"Jan 7, 12:00 pm",196.732,179.611,59.7248,0.550289
"Jan 7, 01:00 pm",215.772,195.452,61.2845,0.570995
"Jan 7, 02:00 pm",262.373,210.065,65.8923,0.615736
"Jan 7, 03:00 pm",295.375,222.816,72.9547,0.656695
"Jan 7, 04:00 pm",44.115,233.739,81.7866,0.179991
"Jan 7, 05:00 pm",38.07,243.225,92.039,0
"Jan 7, 06:00 pm",27.2293,251.776,103.028,0
"Jan 7, 07:00 pm",15.8334,259.94,114.56,0
"Jan 7, 08:00 pm",0,268.382,126.388,0
"Jan 7, 09:00 pm",0,278.16,138.258,0
"Jan 7, 10:00 pm",0,291.531,149.761,0
"Jan 7, 11:00 pm",0,314.544,159.81,0
"Jan 8, 12:00 am",0,358.532,164.782,0
"Jan 8, 01:00 am",0,43.6334,160.265,0
"Jan 8, 02:00 am",0,67.4971,150.36,0
"Jan 8, 03:00 am",0,81.1797,138.894,0
"Jan 8, 04:00 am",0,91.075,127.026,0
"Jan 8, 05:00 am",0,99.5537,115.181,0
"Jan 8, 06:00 am",0,107.709,103.618,0
"Jan 8, 07:00 am",0,116.221,92.5801,0
"Jan 8, 08:00 am",0,125.639,82.2488,0
"Jan 8, 09:00 am",0,136.471,73.3226,0.656196
"Jan 8, 10:00 am",0,149.122,66.1254,0.619584
"Jan 8, 11:00 am",0,163.662,61.3451,0.574074
"Jan 8, 12:00 pm",197.347,179.497,59.5909,0.551653
"Jan 8, 01:00 pm",229.782,195.378,61.1309,0.571858
"Jan 8, 02:00 pm",280.277,210.032,65.7285,0.616149
"Jan 8, 03:00 pm",307.534,222.816,72.7882,0.656888
"Jan 8, 04:00 pm",44.5035,233.763,81.6229,0.186925
"Jan 8, 05:00 pm",39.0281,243.266,91.877,0
"Jan 8, 06:00 pm",28.3691,251.833,102.87,0
"Jan 8, 07:00 pm",16.8898,260.01,114.405,0
"Jan 8, 08:00 pm",0,268.466,126.234,0
"Jan 8, 09:00 pm",0,278.258,138.103,0
"Jan 8, 10:00 pm",0,291.632,149.601,0
"Jan 8, 11:00 pm",0,314.566,159.642,0
"Jan 9, 12:00 am",0,358.178,164.641,0
"Jan 9, 01:00 am",0,43.1613,160.21,0
"Jan 9, 02:00 am",0,67.1556,150.351,0
"Jan 9, 03:00 am",0,80.9224,138.902,0
"Jan 9, 04:00 am",0,90.8631,127.036,0
"Jan 9, 05:00 am",0,99.3663,115.188,0
"Jan 9, 06:00 am",0,107.535,103.616,0
"Jan 9, 07:00 am",0,116.051,92.5643,0
"Jan 9, 08:00 am",0,125.47,82.2153,0.171815
"Jan 9, 09:00 am",0,136.303,73.2658,0.637136
"Jan 9, 10:00 am",252.26,148.96,66.0409,0.62037
"Jan 9, 11:00 am",237.812,163.517,61.2311,0.576515
"Jan 9, 12:00 pm",212.951,179.384,59.4501,0.55308
