"Time stamp","Estimate rec. thermal power TO HTF | (MWt)","Resource Solar Azimuth | (deg)","Resource Solar Zenith | (deg)","Field optical efficiency before defocus"
"Jan 3, 05:00 am",0,131.53,69.2956,0.678867
"Jan 3, 06:00 am",0,143.097,60.2646,0.659193
"Jan 3, 07:00 am",191.714,157.594,53.6533,0.639977
"Jan 3, 08:00 am",216.535,174.664,50.4385,0.629008
"Jan 3, 09:00 am",223.29,192.475,51.2688,0.631747
"Jan 3, 10:00 am",229.528,208.645,55.9633,0.647062
"Jan 3, 11:00 am",220.893,221.936,63.666,0.667231
"Jan 3, 12:00 pm",134.308,232.452,73.42,0.594184
"Jan 3, 01:00 pm",39.9335,240.831,84.4427,0
"Jan 3, 02:00 pm",28.1298,247.729,96.5764,0
"Jan 3, 03:00 pm",15.1301,253.679,109.128,0
"Jan 3, 04:00 pm",0,259.133,122.053,0
"Jan 3, 05:00 pm",0,264.579,135.214,0
"Jan 3, 06:00 pm",0,270.863,148.496,0
"Jan 3, 07:00 pm",0,280.734,161.726,0
"Jan 3, 08:00 pm",0,318.317,173.727,0
"Jan 3, 09:00 pm",0,65.6485,169.392,0
"Jan 3, 10:00 pm",0,83.9998,156.493,0
"Jan 3, 11:00 pm",0,91.789,143.206,0
"Jan 4, 12:00 am",0,97.583,129.954,0
"Jan 4, 01:00 am",0,102.96,116.868,0
"Jan 4, 02:00 am",0,108.555,104.067,0
"Jan 4, 03:00 am",0,114.821,91.7045,0
"Jan 4, 04:00 am",0,122.232,79.9209,0.271839
"Jan 4, 05:00 am",0,131.373,69.2999,0.67927
"Jan 4, 06:00 am",0,142.93,60.2412,0.659725
"Jan 4, 07:00 am",205.075,157.426,53.5956,0.640956
"Jan 4, 08:00 am",218.648,174.516,50.3446,0.629598
"Jan 4, 09:00 am",252.425,192.371,51.1452,0.632202
"Jan 4, 10:00 am",254.475,208.59,55.8222,0.647356
"Jan 4, 11:00 am",245.281,221.922,63.5184,0.667406
"Jan 4, 12:00 pm",154.917,232.465,73.2723,0.598857
"Jan 4, 01:00 pm",39.9747,240.863,84.2998,0
"Jan 4, 02:00 pm",28.1287,247.775,96.4351,0
"Jan 4, 03:00 pm",15.1288,253.74,108.991,0
"Jan 4, 04:00 pm",0,259.211,121.919,0
"Jan 4, 05:00 pm",0,264.681,135.083,0
"Jan 4, 06:00 pm",0,271.004,148.367,0
"Jan 4, 07:00 pm",0,280.947,161.592,0
"Jan 4, 08:00 pm",0,318.216,173.577,0
"Jan 4, 09:00 pm",0,64.8595,169.43,0
"Jan 4, 10:00 pm",0,83.6633,156.56,0
"Jan 4, 11:00 pm",0,91.5667,143.276,0
"Jan 5, 12:00 am",0,97.4065,130.02,0
"Jan 5, 01:00 am",0,102.805,116.928,0
"Jan 5, 02:00 am",0,108.408,104.117,0
"Jan 5, 03:00 am",0,114.674,91.7415,0
"Jan 5, 04:00 am",0,122.08,79.9406,0.270173
"Jan 5, 05:00 am",0,131.211,69.298,0.679686
"Jan 5, 06:00 am",0,142.759,60.2109,0.660236
"Jan 5, 07:00 am",242.669,157.255,53.5307,0.641599
"Jan 5, 08:00 am",258.521,174.368,50.2433,0.630224
"Jan 5, 09:00 am",266.524,192.27,51.0147,0.632694
"Jan 5, 10:00 am",279.944,208.542,55.6754,0.647685
"Jan 5, 11:00 am",280.211,221.914,63.3662,0.667608
"Jan 5, 12:00 pm",193.11,232.485,73.1212,0.603606
"Jan 5, 01:00 pm",39.9425,240.902,84.1544,0
"Jan 5, 02:00 pm",28.0226,247.83,96.2918,0
"Jan 5, 03:00 pm",14.9749,253.809,108.852,0
"Jan 5, 04:00 pm",0,259.298,121.784,0
"Jan 5, 05:00 pm",0,264.793,134.951,0
"Jan 5, 06:00 pm",0,271.159,148.236,0
"Jan 5, 07:00 pm",0,281.18,161.457,0
"Jan 5, 08:00 pm",0,318.171,173.423,0
"Jan 5, 09:00 pm",0,64.0345,169.461,0
"Jan 5, 10:00 pm",0,83.3084,156.623,0
"Jan 5, 11:00 pm",0,91.3325,143.342,0
"Jan 6, 12:00 am",0,97.2212,130.082,0
"Jan 6, 01:00 am",0,102.642,116.983,0
"Jan 6, 02:00 am",0,108.255,104.162,0
"Jan 6, 03:00 am",0,114.522,91.7735,0
"Jan 6, 04:00 am",0,121.922,79.9549,0.268716
"Jan 6, 05:00 am",0,131.045,69.2903,0.680115
"Jan 6, 06:00 am",258.875,142.584,60.1742,0.660852
"Jan 6, 07:00 am",325.386,157.083,53.4588,0.642268
"Jan 6, 08:00 am",313.23,174.222,50.1349,0.630884
"Jan 6, 09:00 am",316.251,192.173,50.8776,0.633225
"Jan 6, 10:00 am",330.272,208.499,55.5229,0.648047
"Jan 6, 11:00 am",333.348,221.913,63.2096,0.667836
"Jan 6, 12:00 pm",283.194,232.511,72.9668,0.608429
"Jan 6, 01:00 pm",40.088,240.948,84.0071,0
"Jan 6, 02:00 pm",28.965,247.891,96.1466,0
"Jan 6, 03:00 pm",15.3477,253.885,108.712,0
"Jan 6, 04:00 pm",0,259.393,121.649,0
"Jan 6, 05:00 pm",0,264.916,134.819,0
"Jan 6, 06:00 pm",0,271.327,148.105,0
"Jan 6, 07:00 pm",0,281.434,161.321,0
"Jan 6, 08:00 pm",0,318.179,173.265,0
"Jan 6, 09:00 pm",0,63.1752,169.485,0
"Jan 6, 10:00 pm",0,82.9354,156.682,0
"Jan 6, 11:00 pm",0,91.0865,143.403,0
"Jan 7, 12:00 am",0,97.0271,130.14,0
"Jan 7, 01:00 am",0,102.472,117.033,0
"Jan 7, 02:00 am",0,108.096,104.202,0
"Jan 7, 03:00 am",0,114.364,91.8004,0
"Jan 7, 04:00 am",0,121.76,79.9649,0.26747
"Jan 7, 05:00 am",0,130.874,69.277,0.680556
"Jan 7, 06:00 am",0,142.406,60.1311,0.661421
"Jan 7, 07:00 am",246.693,156.909,53.3799,0.642963
"Jan 7, 08:00 am",239.702,174.076,50.0194,0.631577
"Jan 7, 09:00 am",281.986,192.08,50.7339,0.633792
"Jan 7, 10:00 am",291.546,208.461,55.3649,0.648442
"Jan 7, 11:00 am",289.497,221.918,63.0487,0.66809
"Jan 7, 12:00 pm",208.681,232.545,72.8094,0.613322
"Jan 7, 01:00 pm",40.1571,241.001,83.8583,0
"Jan 7, 02:00 pm",28.5217,247.959,95.9996,0
"Jan 7, 03:00 pm",15.7555,253.969,108.571,0
"Jan 7, 04:00 pm",0,259.496,121.513,0
"Jan 7, 05:00 pm",0,265.048,134.686,0
"Jan 7, 06:00 pm",0,271.508,147.973,0
"Jan 7, 07:00 pm",0,281.707,161.184,0
"Jan 7, 08:00 pm",0,318.237,173.102,0
"Jan 7, 09:00 pm",0,62.2835,169.502,0
"Jan 7, 10:00 pm",0,82.5446,156.736,0
"Jan 7, 11:00 pm",0,90.8291,143.461,0
"Jan 8, 12:00 am",0,96.8243,130.194,0
"Jan 8, 01:00 am",0,102.295,117.079,0
"Jan 8, 02:00 am",0,107.93,104.238,0
"Jan 8, 03:00 am",0,114.201,91.8222,0
"Jan 8, 04:00 am",0,121.593,79.9688,0.266436
"Jan 8, 05:00 am",0,130.699,69.2572,0.681008
"Jan 8, 06:00 am",220.851,142.225,60.0811,0.662049
"Jan 8, 07:00 am",290.943,156.733,53.2937,0.643683
"Jan 8, 08:00 am",283.6,173.932,49.8966,0.632302
"Jan 8, 09:00 am",268.552,191.991,50.5835,0.634395
"Jan 8, 10:00 am",276.37,208.43,55.2013,0.648871
"Jan 8, 11:00 am",273.6,221.931,62.8834,0.66837
"Jan 8, 12:00 pm",195.983,232.586,72.6485,0.61828
"Jan 8, 01:00 pm",39.97,241.062,83.7064,0
"Jan 8, 02:00 pm",28.3275,248.035,95.8509,0
"Jan 8, 03:00 pm",15.517,254.061,108.429,0
"Jan 8, 04:00 pm",0,259.608,121.375,0
"Jan 8, 05:00 pm",0,265.19,134.553,0
"Jan 8, 06:00 pm",0,271.701,147.841,0
"Jan 8, 07:00 pm",0,281.999,161.045,0
"Jan 8, 08:00 pm",0,318.341,172.934,0
"Jan 8, 09:00 pm",0,61.3616,169.51,0
"Jan 8, 10:00 pm",0,82.1363,156.784,0
"Jan 8, 11:00 pm",0,90.5602,143.514,0
"Jan 9, 12:00 am",0,96.613,130.243,0
"Jan 9, 01:00 am",0,102.112,117.121,0
"Jan 9, 02:00 am",0,107.759,104.269,0
"Jan 9, 03:00 am",0,114.032,91.8389,0
"Jan 9, 04:00 am",0,121.421,79.9675,0
"Jan 9, 05:00 am",0,130.52,69.2315,0.681472
"Jan 9, 06:00 am",0,142.04,60.0245,0.662866
"Jan 9, 07:00 am",0,156.555,53.2005,0.644426
"Jan 9, 08:00 am",0,173.788,49.7667,0.633059
"Jan 9, 09:00 am",0,191.905,50.4266,0.634618
"Jan 9, 10:00 am",132.773,208.405,55.0323,0.648881
"Jan 9, 11:00 am",39.2699,221.95,62.7139,0.668674
"Jan 9, 12:00 pm",31.9823,232.634,72.4847,0.623298
"Jan 9, 01:00 pm",21.1123,241.129,83.5531,0.0978202
"Jan 9, 02:00 pm",9.82621,248.118,95.7006,0
"Jan 9, 03:00 pm",0,254.16,108.285,0
"Jan 9, 04:00 pm",0,259.728,121.237,0
"Jan 9, 05:00 pm",0,265.342,134.419,0
"Jan 9, 06:00 pm",0,271.907,147.708,0
"Jan 9, 07:00 pm",0,282.309,160.905,0
"Jan 9, 08:00 pm",0,318.489,172.763,0
"Jan 9, 09:00 pm",0,60.4117,169.51,0
"Jan 9, 10:00 pm",0,81.7107,156.828,0
"Jan 9, 11:00 pm",0,90.2802,143.562,0
"Jan 10, 12:00 am",0,96.3933,130.288,0
"Jan 10, 01:00 am",0,101.921,117.158,0
"Jan 10, 02:00 am",0,107.581,104.295,0
"Jan 10, 03:00 am",0,113.858,91.8503,0
"Jan 10, 04:00 am",0,121.244,79.9598,0.265005
"Jan 10, 05:00 am",0,130.337,69.1992,0.681946
"Jan 10, 06:00 am",0,141.852,59.9609,0.663501
"Jan 10, 07:00 am",0,156.377,53.0998,0.644634
"Jan 10, 08:00 am",136.672,173.645,49.6293,0.633266
"Jan 10, 09:00 am",183.5,191.823,50.2627,0.635704
"Jan 10, 10:00 am",182.71,208.385,54.8571,0.649824
"Jan 10, 11:00 am",162.679,221.976,62.5392,0.669004
"Jan 10, 12:00 pm",85.6003,232.69,72.3163,0.628373
"Jan 10, 01:00 pm",40.2426,241.204,83.3932,0.102892
"Jan 10, 02:00 pm",28.7771,248.209,95.5489,0
"Jan 10, 03:00 pm",15.8984,254.267,108.14,0
"Jan 10, 04:00 pm",0,259.857,121.099,0
"Jan 10, 05:00 pm",0,265.503,134.285,0
"Jan 10, 06:00 pm",0,272.125,147.575,0
"Jan 10, 07:00 pm",0,282.638,160.764,0
"Jan 10, 08:00 pm",0,318.676,172.587,0
"Jan 10, 09:00 pm",0,59.4365,169.501,0
"Jan 10, 10:00 pm",0,81.2684,156.866,0
"Jan 10, 11:00 pm",0,89.9891,143.606,0
"Jan 11, 12:00 am",0,96.1653,130.328,0
"Jan 11, 01:00 am",0,101.723,117.191,0
"Jan 11, 02:00 am",0,107.398,104.316,0
"Jan 11, 03:00 am",0,113.679,91.8566,0
"Jan 11, 04:00 am",0,121.062,79.9465,0
"Jan 11, 05:00 am",0,130.149,69.1609,0.682429
"Jan 11, 06:00 am",0,141.661,59.8908,0.664042
"Jan 11, 07:00 am",107.128,156.196,52.9924,0.645526
"Jan 11, 08:00 am",175.135,173.504,49.4851,0.63466
"Jan 11, 09:00 am",188.667,191.746,50.0926,0.636409
"Jan 11, 10:00 am",192.684,208.372,54.6771,0.650347
"Jan 11, 11:00 am",178.272,222.009,62.3612,0.669358
"Jan 11, 12:00 pm",108.993,232.752,72.1459,0.633501
"Jan 11, 01:00 pm",40.3172,241.285,83.2339,0.108087
"Jan 11, 02:00 pm",29.0208,248.306,95.3957,0
"Jan 11, 03:00 pm",16.2147,254.381,107.995,0
"Jan 11, 04:00 pm",0,259.993,120.96,0
"Jan 11, 05:00 pm",0,265.674,134.15,0
"Jan 11, 06:00 pm",0,272.356,147.441,0
"Jan 11, 07:00 pm",0,282.984,160.622,0
"Jan 11, 08:00 pm",0,318.901,172.406,0
"Jan 11, 09:00 pm",0,58.4385,169.484,0
"Jan 11, 10:00 pm",0,80.8097,156.898,0
"Jan 11, 11:00 pm",0,89.6872,143.645,0
"Jan 12, 12:00 am",0,95.9292,130.364,0
"Jan 12, 01:00 am",0,101.519,117.218,0
"Jan 12, 02:00 am",0,107.209,104.332,0
"Jan 12, 03:00 am",0,113.495,91.8576,0
"Jan 12, 04:00 am",0,120.876,79.9276,0.264432
"Jan 12, 05:00 am",0,129.957,69.1165,0.682921
"Jan 12, 06:00 am",0,141.466,59.8141,0.664631
"Jan 12, 07:00 am",234.718,156.014,52.878,0.646624
"Jan 12, 08:00 am",254.778,173.363,49.3339,0.635502
"Jan 12, 09:00 am",273.892,191.672,49.9162,0.637145
"Jan 12, 10:00 am",284.175,208.365,54.4918,0.650899
"Jan 12, 11:00 am",279.553,222.049,62.1791,0.669736
"Jan 12, 12:00 pm",204.446,232.821,71.9727,0.638677
"Jan 12, 01:00 pm",40.8799,241.374,83.0728,0.113402
"Jan 12, 02:00 pm",30.2029,248.411,95.2412,0
"Jan 12, 03:00 pm",17.589,254.503,107.849,0
"Jan 12, 04:00 pm",0,260.138,120.82,0
"Jan 12, 05:00 pm",0,265.854,134.015,0
"Jan 12, 06:00 pm",0,272.598,147.307,0
"Jan 12, 07:00 pm",0,283.346,160.479,0
"Jan 12, 08:00 pm",0,319.159,172.222,0
"Jan 12, 09:00 pm",0,57.4206,169.458,0
"Jan 12, 10:00 pm",0,80.335,156.925,0
"Jan 12, 11:00 pm",0,89.3747,143.679,0
"Jan 13, 12:00 am",0,95.6852,130.395,0
"Jan 13, 01:00 am",0,101.309,117.241,0
"Jan 13, 02:00 am",0,107.014,104.344,0
"Jan 13, 03:00 am",0,113.306,91.8533,0
"Jan 13, 04:00 am",0,120.685,79.9035,0
"Jan 13, 05:00 am",0,129.762,69.0661,0.683422
"Jan 13, 06:00 am",0,141.269,59.7309,0.665491
"Jan 13, 07:00 am",0,155.831,52.7565,0.64707
"Jan 13, 08:00 am",210.7,173.224,49.1758,0.636002
"Jan 13, 09:00 am",131.345,191.603,49.7333,0.637912
"Jan 13, 10:00 am",266.742,208.364,54.3014,0.651481
"Jan 13, 11:00 am",266.414,222.096,61.9931,0.670137
"Jan 13, 12:00 pm",195.501,232.898,71.7965,0.643898
"Jan 13, 01:00 pm",40.7687,241.47,82.9092,0.118836
"Jan 13, 02:00 pm",30.1132,248.523,95.0854,0
"Jan 13, 03:00 pm",17.5474,254.632,107.702,0
"Jan 13, 04:00 pm",0,260.291,120.68,0
"Jan 13, 05:00 pm",0,266.043,133.88,0
"Jan 13, 06:00 pm",0,272.851,147.172,0
"Jan 13, 07:00 pm",0,283.725,160.334,0
"Jan 13, 08:00 pm",0,319.449,172.033,0
"Jan 13, 09:00 pm",0,56.3858,169.422,0
"Jan 13, 10:00 pm",0,79.8449,156.946,0
"Jan 13, 11:00 pm",0,89.0518,143.708,0
"Jan 14, 12:00 am",0,95.4332,130.421,0
"Jan 14, 01:00 am",0,101.091,117.259,0
"Jan 14, 02:00 am",0,106.814,104.35,0
"Jan 14, 03:00 am",0,113.112,91.8437,0
"Jan 14, 04:00 am",0,120.49,79.8732,0.264723
"Jan 14, 05:00 am",0,129.563,69.0096,0.683931
"Jan 14, 06:00 am",226.31,141.069,59.6411,0.666002
"Jan 14, 07:00 am",290.251,155.646,52.6282,0.648455
"Jan 14, 08:00 am",277.013,173.086,49.0107,0.637265
"Jan 14, 09:00 am",287.843,191.538,49.5443,0.638708
"Jan 14, 10:00 am",303.911,208.369,54.1057,0.652092
"Jan 14, 11:00 am",311.557,222.15,61.8031,0.670561
"Jan 14, 12:00 pm",259.332,232.982,71.6174,0.649158
"Jan 14, 01:00 pm",41.4766,241.573,82.7432,0.124386
"Jan 14, 02:00 pm",31.8846,248.642,94.9285,0
"Jan 14, 03:00 pm",19.7217,254.769,107.554,0
"Jan 14, 04:00 pm",0,260.451,120.54,0
"Jan 14, 05:00 pm",0,266.242,133.744,0
"Jan 14, 06:00 pm",0,273.116,147.037,0
"Jan 14, 07:00 pm",0,284.12,160.188,0
"Jan 14, 08:00 pm",0,319.768,171.841,0
"Jan 14, 09:00 pm",0,55.337,169.377,0
"Jan 14, 10:00 pm",0,79.3398,156.961,0
"Jan 14, 11:00 pm",0,88.7188,143.732,0
"Jan 15, 12:00 am",0,95.1737,130.442,0
"Jan 15, 01:00 am",0,100.868,117.272,0
"Jan 15, 02:00 am",0,106.608,104.351,0
"Jan 15, 03:00 am",0,112.913,91.8288,0
"Jan 15, 04:00 am",0,120.291,79.8378,0
"Jan 15, 05:00 am",0,129.359,68.9471,0.684447
"Jan 15, 06:00 am",0,140.866,59.5449,0.666721
"Jan 15, 07:00 am",299.99,155.46,52.4932,0.649013
"Jan 15, 08:00 am",302.992,172.95,48.8389,0.638182
"Jan 15, 09:00 am",291.927,191.478,49.3492,0.639532
"Jan 15, 10:00 am",282.177,208.381,53.9054,0.652729
"Jan 15, 11:00 am",255.492,222.212,61.6099,0.671007
"Jan 15, 12:00 pm",263.181,233.073,71.4364,0.654454
"Jan 15, 01:00 pm",41.629,241.683,82.5771,0.130051
"Jan 15, 02:00 pm",32.1034,248.767,94.7705,0
"Jan 15, 03:00 pm",20.0218,254.912,107.406,0
"Jan 15, 04:00 pm",8.37983,260.62,120.399,0
"Jan 15, 05:00 pm",0,266.449,133.609,0
"Jan 15, 06:00 pm",0,273.392,146.901,0
"Jan 15, 07:00 pm",0,284.53,160.041,0
"Jan 15, 08:00 pm",0,320.114,171.644,0
"Jan 15, 09:00 pm",0,54.2775,169.323,0
"Jan 15, 10:00 pm",0,78.8204,156.969,0
"Jan 15, 11:00 pm",0,88.376,143.75,0
"Jan 16, 12:00 am",0,94.9066,130.458,0
"Jan 16, 01:00 am",0,100.639,117.281,0
"Jan 16, 02:00 am",0,106.398,104.347,0
"Jan 16, 03:00 am",0,112.71,91.8085,0
"Jan 16, 04:00 am",0,120.087,79.7968,0.265889
"Jan 16, 05:00 am",0,129.153,68.8786,0.684969
"Jan 16, 06:00 am",0,140.66,59.4423,0.667591
"Jan 16, 07:00 am",0,155.273,52.3514,0.649742
"Jan 16, 08:00 am",191.587,172.814,48.6604,0.639122
"Jan 16, 09:00 am",215.677,191.421,49.1481,0.640384
"Jan 16, 10:00 am",228.229,208.399,53.7002,0.653393
"Jan 16, 11:00 am",228.215,222.28,61.413,0.671474
"Jan 16, 12:00 pm",177.698,233.171,71.2528,0.659782
"Jan 16, 01:00 pm",41.0475,241.8,82.4086,0.135829
"Jan 16, 02:00 pm",30.644,248.9,94.6115,0
"Jan 16, 03:00 pm",18.1123,255.063,107.257,0
"Jan 16, 04:00 pm",0,260.796,120.258,0
"Jan 16, 05:00 pm",0,266.665,133.473,0
"Jan 16, 06:00 pm",0,273.679,146.765,0
"Jan 16, 07:00 pm",0,284.955,159.893,0
"Jan 16, 08:00 pm",0,320.483,171.443,0
"Jan 16, 09:00 pm",0,53.2103,169.259,0
"Jan 16, 10:00 pm",0,78.2872,156.971,0
"Jan 16, 11:00 pm",0,88.0235,143.764,0
"Jan 17, 12:00 am",0,94.6323,130.469,0
"Jan 17, 01:00 am",0,100.403,117.284,0
"Jan 17, 02:00 am",0,106.182,104.338,0
"Jan 17, 03:00 am",0,112.501,91.7829,0
"Jan 17, 04:00 am",0,119.88,79.7497,0
"Jan 17, 05:00 am",0,128.942,68.8039,0.685498
"Jan 17, 06:00 am",0,140.451,59.3331,0.668125
"Jan 17, 07:00 am",332.586,155.085,52.2027,0.651087
"Jan 17, 08:00 am",325.892,172.681,48.475,0.640084
"Jan 17, 09:00 am",332.967,191.37,48.9408,0.641261
"Jan 17, 10:00 am",344.776,208.424,53.4898,0.654082
"Jan 17, 11:00 am",40.3064,222.356,61.2122,0.671962
"Jan 17, 12:00 pm",65.9908,233.276,71.0661,0.665138
"Jan 17, 01:00 pm",35.9802,241.924,82.2372,0.141715
"Jan 17, 02:00 pm",26.9778,249.04,94.4516,0
"Jan 17, 03:00 pm",15.5592,255.221,107.107,0
"Jan 17, 04:00 pm",0,260.979,120.117,0
"Jan 17, 05:00 pm",0,266.89,133.336,0
"Jan 17, 06:00 pm",0,273.976,146.628,0
"Jan 17, 07:00 pm",0,285.394,159.743,0
"Jan 17, 08:00 pm",0,320.874,171.238,0
"Jan 17, 09:00 pm",0,52.1387,169.185,0
"Jan 17, 10:00 pm",0,77.7408,156.967,0
"Jan 17, 11:00 pm",0,87.6616,143.771,0
"Jan 18, 12:00 am",0,94.3508,130.475,0
"Jan 18, 01:00 am",0,100.162,117.282,0
"Jan 18, 02:00 am",0,105.961,104.324,0
"Jan 18, 03:00 am",0,112.289,91.752,0
"Jan 18, 04:00 am",0,119.668,79.6975,0.267938
"Jan 18, 05:00 am",0,128.728,68.7234,0.686032
"Jan 18, 06:00 am",0,140.239,59.2177,0.668944
"Jan 18, 07:00 am",125.349,154.895,52.0474,0.651492
"Jan 18, 08:00 am",39.3846,172.548,48.2832,0.641065
"Jan 18, 09:00 am",189.014,191.322,48.7277,0.641477
"Jan 18, 10:00 am",213.601,208.455,53.2751,0.654795
"Jan 18, 11:00 am",189.906,222.439,61.0084,0.67247
"Jan 18, 12:00 pm",41.6745,233.389,70.8778,0.670518
"Jan 18, 01:00 pm",32.8995,242.055,82.0658,0.147709
"Jan 18, 02:00 pm",21.7017,249.187,94.2909,0
"Jan 18, 03:00 pm",10.3584,255.386,106.958,0
"Jan 18, 04:00 pm",0,261.17,119.976,0
"Jan 18, 05:00 pm",0,267.123,133.2,0
"Jan 18, 06:00 pm",0,274.284,146.491,0
"Jan 18, 07:00 pm",0,285.846,159.591,0
"Jan 18, 08:00 pm",0,321.285,171.029,0
"Jan 18, 09:00 pm",0,51.0656,169.101,0
"Jan 18, 10:00 pm",0,77.182,156.956,0
"Jan 18, 11:00 pm",0,87.2908,143.773,0
"Jan 19, 12:00 am",0,94.0624,130.476,0
"Jan 19, 01:00 am",0,99.9151,117.275,0
"Jan 19, 02:00 am",0,105.735,104.304,0
"Jan 19, 03:00 am",0,112.071,91.7157,0
"Jan 19, 04:00 am",0,119.452,79.6402,0
"Jan 19, 05:00 am",0,128.51,68.6372,0.686571
"Jan 19, 06:00 am",0,140.025,59.0962,0.669778
"Jan 19, 07:00 am",0,154.705,51.8858,0.652913
"Jan 19, 08:00 am",0,172.418,48.085,0.642066
"Jan 19, 09:00 am",0,191.28,48.509,0.643088
"Jan 19, 10:00 am",0,208.493,53.0561,0.655532
"Jan 19, 11:00 am",0,222.529,60.8017,0
"Jan 19, 12:00 pm",0,233.509,70.6878,0.675918
"Jan 19, 01:00 pm",0,242.193,81.8938,0
"Jan 19, 02:00 pm",0,249.34,94.1295,0
"Jan 19, 03:00 pm",0,255.558,106.808,0
"Jan 19, 04:00 pm",0,261.369,119.834,0
"Jan 19, 05:00 pm",0,267.365,133.063,0
"Jan 19, 06:00 pm",0,274.602,146.354,0
"Jan 19, 07:00 pm",0,286.312,159.438,0
"Jan 19, 08:00 pm",0,321.715,170.815,0
"Jan 19, 09:00 pm",0,49.9943,169.008,0
"Jan 19, 10:00 pm",0,76.6114,156.938,0
"Jan 19, 11:00 pm",0,86.9112,143.77,0
"Jan 20, 12:00 am",0,93.7672,130.471,0
"Jan 20, 01:00 am",0,99.6626,117.263,0
"Jan 20, 02:00 am",0,105.504,104.279,0
"Jan 20, 03:00 am",0,111.85,91.6741,0
"Jan 20, 04:00 am",0,119.232,79.5774,0.270883
"Jan 20, 05:00 am",0,128.289,68.5452,0.687115
"Jan 20, 06:00 am",0,139.808,58.9683,0.670523
"Jan 20, 07:00 am",0,154.513,51.7175,0.653297
"Jan 20, 08:00 am",199.699,172.288,47.8802,0.643084
"Jan 20, 09:00 am",205.029,191.242,48.2845,0.644036
"Jan 20, 10:00 am",210.17,208.537,52.8323,0.65629
"Jan 20, 11:00 am",207.654,222.627,60.5916,0.673542
"Jan 20, 12:00 pm",162.34,233.635,70.4952,0.681333
"Jan 20, 01:00 pm",40.9835,242.338,81.7194,0.160005
"Jan 20, 02:00 pm",30.4764,249.5,93.9674,0
"Jan 20, 03:00 pm",17.8739,255.736,106.657,0
"Jan 20, 04:00 pm",0,261.575,119.692,0
"Jan 20, 05:00 pm",0,267.615,132.927,0
"Jan 20, 06:00 pm",0,274.93,146.216,0
