"Time stamp","Estimate rec. thermal power TO HTF | (MWt)","Resource Solar Azimuth | (deg)","Resource Solar Zenith | (deg)","Field optical efficiency before defocus"
"Jan 1, 12:00 am",0,98.058,129.733,0
"Jan 1, 01:00 am",0,103.382,116.666,0
"Jan 1, 02:00 am",0,108.957,103.892,0
"Jan 1, 03:00 am",0,115.225,91.5642,0
"Jan 1, 04:00 am",0,122.656,79.8288,0.278088
"Jan 1, 05:00 am",0,131.831,69.2688,0.678104
"Jan 1, 06:00 am",0,143.421,60.2915,0.658218
"Jan 1, 07:00 am",161.965,157.925,53.747,0.639054
"Jan 1, 08:00 am",190.276,174.961,50.6043,0.627937
"Jan 1, 09:00 am",204.458,192.693,51.4953,0.630955
"Jan 1, 10:00 am",205.693,208.77,56.2274,0.646578
"Jan 1, 11:00 am",187.336,221.985,63.9467,0.66696
"Jan 1, 12:00 pm",91.6829,232.447,73.7039,0.58509
"Jan 1, 01:00 pm",39.9785,240.789,84.7192,0
"Jan 1, 02:00 pm",28.2596,247.657,96.8525,0
"Jan 1, 03:00 pm",15.2626,253.58,109.398,0
"Jan 1, 04:00 pm",0,259.003,122.317,0
"Jan 1, 05:00 pm",0,264.406,135.473,0
"Jan 1, 06:00 pm",0,270.62,148.753,0
"Jan 1, 07:00 pm",0,280.372,161.99,0
"Jan 1, 08:00 pm",0,318.703,174.011,0
"Jan 1, 09:00 pm",0,67.1126,169.295,0
"Jan 1, 10:00 pm",0,84.6169,156.345,0
"Jan 1, 11:00 pm",0,92.1978,143.055,0
"Jan 2, 12:00 am",0,97.9088,129.81,0
"Jan 2, 01:00 am",0,103.249,116.738,0
"Jan 2, 02:00 am",0,108.83,103.955,0
"Jan 2, 03:00 am",0,115.096,91.6158,0
"Jan 2, 04:00 am",0,122.52,79.8645,0.275797
"Jan 2, 05:00 am",0,131.683,69.285,0.678478
"Jan 2, 06:00 am",0,143.261,60.2813,0.658709
"Jan 2, 07:00 am",181.773,157.761,53.7037,0.639655
"Jan 2, 08:00 am",213.275,174.812,50.5251,0.628453
"Jan 2, 09:00 am",224.01,192.582,51.3855,0.631331
"Jan 2, 10:00 am",229.573,208.704,56.0984,0.646802
"Jan 2, 11:00 am",219.325,221.957,63.8089,0.667082
"Jan 2, 12:00 pm",132.42,232.446,73.564,0.589594
"Jan 2, 01:00 pm",39.9375,240.806,84.5827,0
"Jan 2, 02:00 pm",28.2832,247.689,96.7155,0
"Jan 2, 03:00 pm",15.4302,253.626,109.264,0
"Jan 2, 04:00 pm",0,259.064,122.185,0
"Jan 2, 05:00 pm",0,264.488,135.344,0
"Jan 2, 06:00 pm",0,270.735,148.625,0
"Jan 2, 07:00 pm",0,280.542,161.858,0
"Jan 2, 08:00 pm",0,318.478,173.871,0
"Jan 2, 09:00 pm",0,66.3999,169.347,0
"Jan 2, 10:00 pm",0,84.3177,156.421,0
"Jan 2, 11:00 pm",0,91.9995,143.132,0
"Jan 3, 12:00 am",0,97.7505,129.884,0
"Jan 3, 01:00 am",0,103.108,116.805,0
"Jan 3, 02:00 am",0,108.696,104.013,0
"Jan 3, 03:00 am",0,114.961,91.6626,0
"Jan 3, 04:00 am",0,122.379,79.8957,0.273714
