"Time stamp","System power generated | (kW)","Estimated receiver thermal power TO HTF | (MWt)","Resource beam normal irradiance | (W/m2)","Predicted clear-sky beam normal irradiance | (W/m2)"
"Jan 11, 02:00 am",-607.2,0,0,0
"Jan 11, 03:00 am",-607.2,0,0,0
"Jan 11, 04:00 am",-607.2,0,0,0
"Jan 11, 05:00 am",-607.2,0,0,0
"Jan 11, 06:00 am",-607.2,0,0,0
"Jan 11, 07:00 am",-607.2,0,0,0
"Jan 11, 08:00 am",-607.2,0,0,0
"Jan 11, 09:00 am",-607.2,0,19,0
"Jan 11, 10:00 am",-607.2,0,73,0
"Jan 11, 11:00 am",-2961.17,0,261,0
"Jan 11, 12:00 pm",5538.61,0,326,0
"Jan 11, 01:00 pm",-818.16,0,245,0
"Jan 11, 02:00 pm",-2819.49,0,234,0
"Jan 11, 03:00 pm",-1420.35,0,242,0
"Jan 11, 04:00 pm",6879.72,0,775,0
"Jan 11, 05:00 pm",108863,200.443,585,0
"Jan 11, 06:00 pm",-818.16,0,0,0
"Jan 11, 07:00 pm",-607.2,0,0,0
"Jan 11, 08:00 pm",-607.2,0,0,0
"Jan 11, 09:00 pm",-607.2,0,0,0
"Jan 11, 10:00 pm",-607.2,0,0,0
"Jan 11, 11:00 pm",-607.2,0,0,0
"Jan 12, 12:00 am",-607.2,0,0,0
"Jan 12, 01:00 am",-607.2,0,0,0
"Jan 12, 02:00 am",-607.2,0,0,0
"Jan 12, 03:00 am",-607.2,0,0,0
"Jan 12, 04:00 am",-607.2,0,0,0
"Jan 12, 05:00 am",-607.2,0,0,0
"Jan 12, 06:00 am",-607.2,0,0,0
"Jan 12, 07:00 am",-607.2,0,0,0
"Jan 12, 08:00 am",-607.2,0,0,0
"Jan 12, 09:00 am",-607.2,0,519,0
"Jan 12, 10:00 am",3659.01,0,734,0
"Jan 12, 11:00 am",112223,513.483,833,0
"Jan 12, 12:00 pm",111010,572.137,883,0
"Jan 12, 01:00 pm",110433,589.194,897,0
"Jan 12, 02:00 pm",110610,574.401,885,0
"Jan 12, 03:00 pm",111457,523.173,843,0
"Jan 12, 04:00 pm",113035,409.401,750,0
"Jan 12, 05:00 pm",114129,190.689,552,0
"Jan 12, 06:00 pm",115911,0,0,0
"Jan 12, 07:00 pm",116075,0,0,0
"Jan 12, 08:00 pm",116009,0,0,0
"Jan 12, 09:00 pm",115914,0,0,0
"Jan 12, 10:00 pm",73110.8,0,0,0
"Jan 12, 11:00 pm",-607.2,0,0,0
"Jan 13, 12:00 am",-607.2,0,0,0
"Jan 13, 01:00 am",-607.2,0,0,0
"Jan 13, 02:00 am",-607.2,0,0,0
"Jan 13, 03:00 am",-607.2,0,0,0
"Jan 13, 04:00 am",-607.2,0,0,0
"Jan 13, 05:00 am",-607.2,0,0,0
"Jan 13, 06:00 am",-607.2,0,0,0
"Jan 13, 07:00 am",-607.2,0,0,0
"Jan 13, 08:00 am",-607.2,0,0,0
"Jan 13, 09:00 am",-607.2,0,515,0
"Jan 13, 10:00 am",5504.18,0,767,0
"Jan 13, 11:00 am",111696,550.417,895,0
