altitude,azimuth,efficiency
0.00,60.00,37.59
0.00,60.80,36.57
0.00,61.60,35.54
0.00,62.40,34.52
0.00,63.20,33.50
0.00,64.00,32.48
0.00,64.80,31.45
0.00,65.60,30.43
0.00,66.40,29.41
0.00,67.20,28.38
0.00,68.00,27.36
0.00,68.80,26.34
0.00,69.60,25.32
0.00,70.40,24.29
0.00,71.20,23.27
0.00,72.00,22.25
0.00,72.80,21.22
0.00,73.60,20.20
0.00,74.40,19.18
0.00,75.20,18.16
0.00,76.00,17.13
0.00,76.80,16.09
0.00,77.60,15.05
0.00,78.40,14.33
0.00,79.20,13.93
0.00,80.00,13.54
0.00,80.80,13.49
0.00,81.60,13.44
0.00,82.40,13.57
0.00,83.20,13.86
0.00,84.00,14.15
0.00,84.80,14.18
0.00,85.60,14.21
0.00,86.40,14.23
0.00,87.20,14.26
0.00,88.00,14.29
0.00,88.80,14.32
0.00,89.60,14.35
0.00,90.40,14.38
0.00,91.20,14.41
0.00,92.00,14.43
0.00,92.80,14.46
0.00,93.60,14.49
0.00,94.40,14.52
0.00,95.20,14.55
0.00,96.00,14.58
0.00,96.80,15.29
0.00,97.60,16.01
0.00,98.40,16.52
0.00,99.20,16.82
0.00,100.00,17.12
0.00,100.80,17.04
0.00,101.60,16.95
0.00,102.40,16.68
0.00,103.20,16.21
0.00,104.00,15.75
0.00,104.80,16.08
0.00,105.60,16.40
0.00,106.40,16.89
0.00,107.20,17.54
0.00,108.00,18.19
0.00,108.80,18.40
0.00,109.60,18.61
0.00,110.40,18.58
0.00,111.20,18.31
0.00,112.00,18.04
0.00,112.80,17.67
0.00,113.60,17.30
0.00,114.40,16.96
0.00,115.20,16.64
0.00,116.00,16.32
0.00,116.80,16.03
0.00,117.60,15.73
0.00,118.40,15.76
0.00,119.20,16.11
0.00,120.00,16.47
0.00,120.80,16.76
0.00,121.60,17.05
0.00,122.40,17.30
0.00,123.20,17.49
0.00,124.00,17.68
0.00,124.80,17.28
0.00,125.60,16.87
0.00,126.40,16.53
0.00,127.20,16.24
0.00,128.00,15.96
0.00,128.80,15.85
0.00,129.60,15.73
0.00,130.40,15.68
0.00,131.20,15.67
0.00,132.00,15.67
0.00,132.80,15.66
0.00,133.60,15.66
0.00,134.40,15.65
0.00,135.20,15.65
0.00,136.00,15.65
0.00,136.80,15.64
0.00,137.60,15.64
0.00,138.40,15.64
0.00,139.20,15.63
0.00,140.00,15.63
0.00,140.80,15.62
0.00,141.60,15.62
0.00,142.40,15.62
0.00,143.20,15.61
0.00,144.00,15.61
0.00,144.80,15.60
0.00,145.60,15.60
0.00,146.40,15.60
0.00,147.20,15.59
0.00,148.00,15.59
0.00,148.80,15.59
0.00,149.60,15.58
0.00,150.40,15.58
0.00,151.20,15.57
0.00,152.00,15.57
0.00,152.80,15.57
0.00,153.60,15.56
0.00,154.40,15.56
0.00,155.20,15.55
0.00,156.00,15.55
0.00,156.80,15.55
0.00,157.60,15.54
0.00,158.40,15.54
0.00,159.20,15.53
0.00,160.00,15.53
0.00,160.80,15.53
0.00,161.60,15.52
0.00,162.40,15.52
0.00,163.20,15.52
0.00,164.00,15.51
0.00,164.80,15.51
0.00,165.60,15.50
0.00,166.40,15.50
0.00,167.20,15.50
0.00,168.00,15.49
0.00,168.80,15.49
0.00,169.60,15.49
0.00,170.40,15.49
0.00,171.20,15.49
0.00,172.00,15.48
0.00,172.80,15.48
0.00,173.60,15.48
0.00,174.40,15.48
0.00,175.20,15.48
0.00,176.00,15.47
0.00,176.80,15.47
0.00,177.60,15.47
0.00,178.40,15.47
0.00,179.20,15.46
0.00,180.00,15.45
0.00,180.80,15.44
0.00,181.60,15.43
0.00,182.40,15.42
0.00,183.20,15.42
0.00,184.00,15.42
0.00,184.80,15.41
0.00,185.60,15.41
0.00,186.40,15.40
